CD_SETOR,NM_MUN,CD_DIST,NM_DIST,lat,lon
355030802000053,São Paulo,355030802,Alto de Pinheiros,-23.536377473073017,-46.71175877028646
355030802000062,São Paulo,355030802,Alto de Pinheiros,-23.539595135799882,-46.722157064399
355030802000063,São Paulo,355030802,Alto de Pinheiros,-23.536776482300976,-46.71908625838167
355030802000067,São Paulo,355030802,Alto de Pinheiros,-23.548208359914227,-46.70425975385806
355030802000069,São Paulo,355030802,Alto de Pinheiros,-23.550811662541282,-46.69921405697349
355030802000070,São Paulo,355030802,Alto de Pinheiros,-23.543135935690643,-46.71311441528301
355030802000071,São Paulo,355030802,Alto de Pinheiros,-23.541285217997608,-46.697743040513906
355030802000072,São Paulo,355030802,Alto de Pinheiros,-23.54593681472121,-46.697025184423715
355030802000073,São Paulo,355030802,Alto de Pinheiros,-23.555739216454995,-46.71388017614283
355030802000077,São Paulo,355030802,Alto de Pinheiros,-23.537896851392382,-46.71924877189977
355030802000078,São Paulo,355030802,Alto de Pinheiros,-23.536625473760978,-46.71807341570486
355030802000079,São Paulo,355030802,Alto de Pinheiros,-23.53764146516967,-46.71522231092167
355030802000080,São Paulo,355030802,Alto de Pinheiros,-23.548356891660923,-46.69987275554029
355030802000081,São Paulo,355030802,Alto de Pinheiros,-23.548449259943393,-46.698472161644744
355030802000082,São Paulo,355030802,Alto de Pinheiros,-23.54729710774306,-46.710631380551916
355030802000083,São Paulo,355030802,Alto de Pinheiros,-23.551849081072522,-46.7053096635931
355030802000084,São Paulo,355030802,Alto de Pinheiros,-23.5440855539273,-46.70738981859998
355030802000085,São Paulo,355030802,Alto de Pinheiros,-23.545378176116884,-46.70858675910825
355030802000086,São Paulo,355030802,Alto de Pinheiros,-23.542488909372885,-46.70431333099035
355030802000087,São Paulo,355030802,Alto de Pinheiros,-23.54435073171121,-46.70611130196398
355030802000088,São Paulo,355030802,Alto de Pinheiros,-23.542958301217798,-46.70222996165882
355030802000089,São Paulo,355030802,Alto de Pinheiros,-23.54514796229658,-46.704812406186186
