0,1
18922,"{'stop_name': 'Jaraguá', 'stop_lat': -23.455502, 'stop_lon': -46.738483, 'stop_location_type': 'Rail'}"
18923,"{'stop_name': 'Vila Clarice', 'stop_lat': -23.470038, 'stop_lon': -46.744207, 'stop_location_type': 'Rail'}"
18924,"{'stop_name': 'Caieiras', 'stop_lat': -23.367176, 'stop_lon': -46.752822, 'stop_location_type': 'Rail'}"
18925,"{'stop_name': 'Franco Da Rocha', 'stop_lat': -23.332181, 'stop_lon': -46.727614, 'stop_location_type': 'Rail'}"
18926,"{'stop_name': 'Baltazar Fidélis', 'stop_lat': -23.310582, 'stop_lon': -46.722853, 'stop_location_type': 'Rail'}"
18927,"{'stop_name': 'Tamanduateí', 'stop_lat': -23.592982, 'stop_lon': -46.589343, 'stop_location_type': 'Rail'}"
18928,"{'stop_name': 'São Caetano', 'stop_lat': -23.610281, 'stop_lon': -46.57033, 'stop_location_type': 'Rail'}"
18929,"{'stop_name': 'Utinga', 'stop_lat': -23.626196, 'stop_lon': -46.543623, 'stop_location_type': 'Rail'}"
18930,"{'stop_name': 'Prefeito Saladino', 'stop_lat': -23.638762, 'stop_lon': -46.53686, 'stop_location_type': 'Rail'}"
18931,"{'stop_name': 'Ribeirão Pires', 'stop_lat': -23.713586, 'stop_lon': -46.414805, 'stop_location_type': 'Rail'}"
18932,"{'stop_name': 'Rio Grande Da Serra', 'stop_lat': -23.742981, 'stop_lon': -46.392026, 'stop_location_type': 'Rail'}"
18934,"{'stop_name': 'Capuava', 'stop_lat': -23.65851, 'stop_lon': -46.490542, 'stop_location_type': 'Rail'}"
18935,"{'stop_name': 'Mauá', 'stop_lat': -23.668016, 'stop_lon': -46.461769, 'stop_location_type': 'Rail'}"
18936,"{'stop_name': 'Prefeito Celso Daniel - Santo André', 'stop_lat': -23.652472, 'stop_lon': -46.528568, 'stop_location_type': 'Rail'}"
18937,"{'stop_name': 'Guapituba', 'stop_lat': -23.691321, 'stop_lon': -46.449263, 'stop_location_type': 'Rail'}"
18939,"{'stop_name': 'Júlio Prestes', 'stop_lat': -23.532964, 'stop_lon': -46.640763, 'stop_location_type': 'Rail'}"
18940,"{'stop_name': 'Luz', 'stop_lat': -23.535103, 'stop_lon': -46.635436, 'stop_location_type': 'Rail'}"
18941,"{'stop_name': 'Moóca', 'stop_lat': -23.557799, 'stop_lon': -46.608419, 'stop_location_type': 'Rail'}"
18942,"{'stop_name': 'Ipiranga', 'stop_lat': -23.582356, 'stop_lon': -46.59666, 'stop_location_type': 'Rail'}"
18944,"{'stop_name': 'Tatuapé', 'stop_lat': -23.5403, 'stop_lon': -46.5767, 'stop_location_type': 'Metro'}"
18946,"{'stop_name': 'Santa Rita', 'stop_lat': -23.545115, 'stop_lon': -46.947651, 'stop_location_type': 'Rail'}"
18947,"{'stop_name': 'Itapevi', 'stop_lat': -23.545728, 'stop_lon': -46.935416, 'stop_location_type': 'Rail'}"
18948,"{'stop_name': 'Engenheiro Cardoso', 'stop_lat': -23.535245, 'stop_lon': -46.928291, 'stop_location_type': 'Rail'}"
18949,"{'stop_name': 'Sagrado Coração', 'stop_lat': -23.52908, 'stop_lon': -46.91728, 'stop_location_type': 'Rail'}"
18950,"{'stop_name': 'Jandira', 'stop_lat': -23.527721, 'stop_lon': -46.902507, 'stop_location_type': 'Rail'}"
18951,"{'stop_name': 'Jardim Silveira', 'stop_lat': -23.523568, 'stop_lon': -46.893491, 'stop_location_type': 'Rail'}"
18952,"{'stop_name': 'Jardim Belval', 'stop_lat': -23.514306, 'stop_lon': -46.88929, 'stop_location_type': 'Rail'}"
18953,"{'stop_name': 'Barueri', 'stop_lat': -23.512644, 'stop_lon': -46.875113, 'stop_location_type': 'Rail'}"
18954,"{'stop_name': 'Antônio João', 'stop_lat': -23.516859, 'stop_lon': -46.858801, 'stop_location_type': 'Rail'}"
18955,"{'stop_name': 'Santa Terezinha', 'stop_lat': -23.516347, 'stop_lon': -46.84807, 'stop_location_type': 'Rail'}"
18956,"{'stop_name': 'Carapicuíba', 'stop_lat': -23.518744, 'stop_lon': -46.835417, 'stop_location_type': 'Rail'}"
18957,"{'stop_name': 'General Miguel Costa', 'stop_lat': -23.523639, 'stop_lon': -46.815998, 'stop_location_type': 'Rail'}"
18958,"{'stop_name': 'Quitaúna', 'stop_lat': -23.522871, 'stop_lon': -46.807085, 'stop_location_type': 'Rail'}"
18959,"{'stop_name': 'Comandante Sampaio', 'stop_lat': -23.52599, 'stop_lon': -46.796059, 'stop_location_type': 'Rail'}"
18960,"{'stop_name': 'Osasco', 'stop_lat': -23.527834, 'stop_lon': -46.776007, 'stop_location_type': 'Rail'}"
18961,"{'stop_name': 'Presidente Altino', 'stop_lat': -23.530423, 'stop_lon': -46.760577, 'stop_location_type': 'Rail'}"
18962,"{'stop_name': 'Ceasa', 'stop_lat': -23.538372, 'stop_lon': -46.741543, 'stop_location_type': 'Rail'}"
18963,"{'stop_name': 'Villa Lobos- Jaguaré', 'stop_lat': -23.546718, 'stop_lon': -46.732079, 'stop_location_type': 'Rail'}"
18964,"{'stop_name': 'Imperatriz Leopoldina', 'stop_lat': -23.523749, 'stop_lon': -46.737662, 'stop_location_type': 'Rail'}"
18965,"{'stop_name': 'Pirituba', 'stop_lat': -23.488464, 'stop_lon': -46.726058, 'stop_location_type': 'Rail'}"
18966,"{'stop_name': 'Pinheiros', 'stop_lat': -23.566631, 'stop_lon': -46.703082, 'stop_location_type': 'Rail'}"
18967,"{'stop_name': 'Cidade Universitária', 'stop_lat': -23.55757, 'stop_lon': -46.712434, 'stop_location_type': 'Rail'}"
18968,"{'stop_name': 'Hebraica - Rebouças', 'stop_lat': -23.573822, 'stop_lon': -46.698634, 'stop_location_type': 'Rail'}"
18969,"{'stop_name': 'Domingos De Moraes', 'stop_lat': -23.518787, 'stop_lon': -46.721665, 'stop_location_type': 'Rail'}"
18971,"{'stop_name': 'Francisco Morato', 'stop_lat': -23.284893, 'stop_lon': -46.742046, 'stop_location_type': 'Rail'}"
18972,"{'stop_name': 'Botujuru', 'stop_lat': -23.23541, 'stop_lon': -46.767932, 'stop_location_type': 'Rail'}"
18973,"{'stop_name': 'Campo Limpo Paulista', 'stop_lat': -23.207264, 'stop_lon': -46.784873, 'stop_location_type': 'Rail'}"
18974,"{'stop_name': 'Várzea Paulista', 'stop_lat': -23.208824, 'stop_lon': -46.829012, 'stop_location_type': 'Rail'}"
18975,"{'stop_name': 'Jundiai', 'stop_lat': -23.195643, 'stop_lon': -46.8719, 'stop_location_type': 'Rail'}"
18976,"{'stop_name': 'Itaquaquecetuba', 'stop_lat': -23.48577, 'stop_lon': -46.348456, 'stop_location_type': 'Rail'}"
18978,"{'stop_name': 'Jundiapeba', 'stop_lat': -23.542687, 'stop_lon': -46.256308, 'stop_location_type': 'Rail'}"
18979,"{'stop_name': 'Brás Cubas', 'stop_lat': -23.536255, 'stop_lon': -46.225325, 'stop_location_type': 'Rail'}"
18980,"{'stop_name': 'Mogi Das Cruzes', 'stop_lat': -23.521185, 'stop_lon': -46.197135, 'stop_location_type': 'Rail'}"
18981,"{'stop_name': 'Estudantes', 'stop_lat': -23.515696, 'stop_lon': -46.18493, 'stop_location_type': 'Rail'}"
18984,"{'stop_name': 'Ana Rosa', 'stop_lat': -23.581388, 'stop_lon': -46.638455, 'stop_location_type': 'Metro'}"
18985,"{'stop_name': 'Palmeiras - Barra Funda', 'stop_lat': -23.525592, 'stop_lon': -46.666651, 'stop_location_type': 'Rail'}"
18986,"{'stop_name': 'Palmeiras - Barra Funda', 'stop_lat': -23.525703, 'stop_lon': -46.666803, 'stop_location_type': 'Metro'}"
18987,"{'stop_name': 'Brás', 'stop_lat': -23.545461, 'stop_lon': -46.616228, 'stop_location_type': 'Rail'}"
18989,"{'stop_name': 'Paraíso', 'stop_lat': -23.5753, 'stop_lon': -46.6408, 'stop_location_type': 'Metro'}"
19000,"{'stop_name': 'Sé', 'stop_lat': -23.550611, 'stop_lon': -46.633505, 'stop_location_type': 'Metro'}"
19040,"{'stop_name': 'Largo Treze', 'stop_lat': -23.654465, 'stop_lon': -46.710305, 'stop_location_type': 'Metro'}"
19041,"{'stop_name': 'Santo Amaro', 'stop_lat': -23.655575, 'stop_lon': -46.721095, 'stop_location_type': 'Metro'}"
19042,"{'stop_name': 'Giovanni Gronchi', 'stop_lat': -23.643975, 'stop_lon': -46.734112, 'stop_location_type': 'Metro'}"
19043,"{'stop_name': 'Vila Das Belezas', 'stop_lat': -23.640331, 'stop_lon': -46.745882, 'stop_location_type': 'Metro'}"
