stop_id,stop_lat,stop_lon,gwalk_nearest
211278,-23.54038,-46.713928,298815061
211279,-23.542689,-46.700338,396151816
301075,-23.442484,-46.796363,1805187377
301087,-23.440339,-46.790203,4743101271
301567,-23.431892,-46.789126,1805186504
301573,-23.431512,-46.793126,5874451713
301578,-23.430024,-46.794481,1805186428
301646,-23.446529,-46.803318,1805187589
301671,-23.43718,-46.805737,1805186772
301672,-23.43923,-46.807039,1805187015
301674,-23.442419,-46.796187,1805187377
301678,-23.43906,-46.789962,1805187024
301679,-23.440333,-46.790333,4743101271
301680,-23.443893,-46.791584,1805187426
301681,-23.445365,-46.791993,7636609013
301682,-23.449411,-46.793787,5509090336
301683,-23.449543,-46.793771,5509090336
301684,-23.447396,-46.792568,4693480823
301686,-23.450869,-46.79071,1805187744
301687,-23.452273,-46.792456,1805187766
301691,-23.438792,-46.791306,1805186962
301692,-23.437343,-46.80343,1805186758
301693,-23.43134,-46.800551,8934884294
301697,-23.438349,-46.802298,7963496257
301698,-23.436158,-46.804023,1805186666
301699,-23.437337,-46.803267,1805186758
301700,-23.43763,-46.804526,4743434299
301701,-23.436138,-46.804151,1805186666
301702,-23.435635,-46.809855,2479631531
301709,-23.442306,-46.786212,2239897343
301711,-23.44573,-46.789183,1805187533
301712,-23.443804,-46.786332,2239897235
301713,-23.44395,-46.786456,2239897235
301714,-23.436426,-46.805789,1805186689
301715,-23.436525,-46.805893,7976406634
301716,-23.437681,-46.808417,1805186806
301717,-23.435614,-46.802456,1805186659
301718,-23.436694,-46.810744,2479631519
301720,-23.43537,-46.802816,1805186624
301721,-23.44877,-46.788268,1805187701
301724,-23.435469,-46.791522,1805186615
301729,-23.432142,-46.787093,1805186500
301730,-23.435386,-46.791885,1805186612
301731,-23.442393,-46.786298,2239897343
301732,-23.438879,-46.765932,7963510060
301733,-23.438793,-46.765945,7963510060
301735,-23.43261,-46.781497,1920363489
301736,-23.451236,-46.794341,5509089701
301737,-23.451222,-46.794275,5509089701
301738,-23.413595,-46.808203,7953388782
301739,-23.413548,-46.808068,2479641751
301740,-23.415927,-46.807252,4743435850
301741,-23.416854,-46.809004,4743435852
301743,-23.415388,-46.810043,2479634300
301745,-23.418517,-46.805343,8652950806
301746,-23.414728,-46.805338,5791088161
